epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,5342.37,0.73015,0.53632,1.08907,0.83972,0.78955,0.84575,0.58451,1.02733,0.78444,1.41067,0.000468747,0.000468747,0.000468747
159,5375.29,0.73898,0.53969,1.07959,0.84415,0.79433,0.85211,0.59114,1.03174,0.77117,1.42016,0.000463579,0.000463579,0.000463579
160,5408.14,0.69629,0.51924,1.0818,0.8646,0.78191,0.85643,0.58657,1.05624,0.78947,1.42596,0.000458416,0.000458416,0.000458416
161,5441,0.69465,0.503,1.07848,0.82874,0.8151,0.85414,0.59329,1.02018,0.75375,1.41037,0.000453258,0.000453258,0.000453258
162,5482.33,0.73043,0.53328,1.09085,0.8664,0.75,0.85338,0.59511,1.02209,0.77926,1.40691,0.000448106,0.000448106,0.000448106
163,5515.07,0.68082,0.48936,1.06148,0.84858,0.78723,0.85116,0.58597,1.04636,0.7628,1.4436,0.00044296,0.00044296,0.00044296
164,5547.97,0.68923,0.47864,1.06263,0.85266,0.78191,0.85304,0.59192,1.05131,0.77215,1.42759,0.000437821,0.000437821,0.000437821
165,5580.91,0.70419,0.497,1.06369,0.85728,0.7961,0.85796,0.58331,1.04758,0.74837,1.44472,0.000432689,0.000432689,0.000432689
166,5613.88,0.71345,0.51559,1.07523,0.85583,0.79433,0.86188,0.59951,1.04519,0.75614,1.43246,0.000427565,0.000427565,0.000427565
167,5647,0.71841,0.50506,1.07243,0.83539,0.81884,0.85807,0.60628,1.00043,0.75807,1.39471,0.000422449,0.000422449,0.000422449
168,5680.17,0.70938,0.50429,1.06823,0.8337,0.8156,0.85987,0.59361,1.03902,0.74881,1.41043,0.000417343,0.000417343,0.000417343
169,5713.3,0.71874,0.50788,1.07325,0.8476,0.79433,0.8434,0.58512,1.03765,0.78532,1.42958,0.000412246,0.000412246,0.000412246
170,5746.38,0.68069,0.50314,1.05358,0.86352,0.78723,0.8408,0.58025,1.05046,0.7775,1.44138,0.00040716,0.00040716,0.00040716
171,5779.31,0.69634,0.50089,1.07721,0.88232,0.78433,0.85061,0.58677,1.03203,0.739,1.41804,0.000402084,0.000402084,0.000402084
172,5812.21,0.68862,0.50174,1.06819,0.85359,0.80628,0.863,0.59715,1.03614,0.73877,1.43003,0.000397019,0.000397019,0.000397019
173,5845.28,0.68724,0.49026,1.05894,0.8765,0.78017,0.84752,0.59145,1.04384,0.72778,1.43825,0.000391966,0.000391966,0.000391966
174,5878.29,0.701,0.48399,1.05817,0.87087,0.78191,0.84586,0.59025,1.01981,0.73901,1.43379,0.000386926,0.000386926,0.000386926
175,5911.49,0.67918,0.47811,1.06257,0.88291,0.77837,0.8555,0.59347,1.03473,0.74211,1.43524,0.000381899,0.000381899,0.000381899
176,5944.61,0.66725,0.4808,1.06193,0.8755,0.74823,0.8281,0.57685,1.03903,0.8095,1.44259,0.000376885,0.000376885,0.000376885
177,5977.62,0.66713,0.47428,1.0589,0.83098,0.8156,0.83511,0.5872,1.03839,0.76165,1.43124,0.000371885,0.000371885,0.000371885
178,6010.56,0.67961,0.4804,1.05379,0.86813,0.78208,0.85369,0.59399,1.03807,0.75062,1.43503,0.000366899,0.000366899,0.000366899
